label,number,directional,street_name,street_type,subaddress_id,subaddress_type,zip,status,lat,lon,x,y
2240 JUDY LN,2240,,JUDY,LANE,,,97526,Other,42.4366863138,-123.3558267411,-13731907.8192,5226619.0581
2241 JUDY LN,2241,,JUDY,LANE,,,97526,Other,42.4363391552,-123.3558289491,-13731908.065000001,5226566.694700003
617 LARCH RD,617,,LARCH,ROAD,,,97526,Other,42.4361358158,-123.3557332435,-13731897.4111,5226536.024300002
623 LARCH RD,623,,LARCH,ROAD,,,97526,Other,42.4359391686,-123.3557652137,-13731900.969999999,5226506.363399997
629 LARCH RD,629,,LARCH,ROAD,,,97526,Other,42.4358584706,-123.3557357732,-13731897.692699999,5226494.191500001
2219 JUDY LN,2219,,JUDY,LANE,,,97526,Other,42.4363656777,-123.355257149,-13731844.4125,5226570.695200004
2225 JUDY LN,2225,,JUDY,LANE,,,97526,Other,42.4363630589,-123.3553915504,-13731859.374,5226570.3002
2231 JUDY LN,2231,,JUDY,LANE,,,97526,Other,42.4363389994,-123.3556231119,-13731885.1513,5226566.6712
2232 JUDY LN,2232,,JUDY,LANE,,,97526,Other,42.4367099503,-123.3555509592,-13731877.1193,5226622.623300001
2226 JUDY LN,2226,,JUDY,LANE,,,97526,Other,42.4367159655,-123.3554691451,-13731868.0118,5226623.530599996
2220 JUDY LN,2220,,JUDY,LANE,,,97526,Other,42.4367172039,-123.3551820229,-13731836.0495,5226623.7173999995
2214 JUDY LN,2214,,JUDY,LANE,,,97526,Other,42.4367205102,-123.3550693203,-13731823.5035,5226624.2161
2208 JUDY LN,2208,,JUDY,LANE,,,97526,Other,42.4367167524,-123.3548558931,-13731799.7449,5226623.649300002
2176 JUDY LN,2176,,JUDY,LANE,,,97526,Other,42.4366820489,-123.3547026208,-13731782.6827,5226618.414800003
2192 CHAMBERS LN,2192,,CHAMBERS,LANE,,,97526,Other,42.4360022907,-123.3553014108,-13731849.3397,5226515.884300001
541 TOWNE ST,541,,TOWNE,STREET,,,97527,Other,42.4146047068,-123.3374999981,-13729867.695500001,5223288.973700002
2012 MARLEN DR,2012,,MARLEN,DRIVE,,,97527,Other,42.4147442211,-123.3355179112,-13729647.0506,5223310.009900004
2013 MARLEN DR,2013,,MARLEN,DRIVE,,,97527,Other,42.4146423208,-123.335162641,-13729607.5021,5223294.645199999
703 NW AMELIA DR,703,NORTHWEST,AMELIA,DRIVE,,,97526,Other,42.4556180183,-123.3305989155,-13729099.4705,5229475.0462
1511 NW PROSPECT AVE,1511,NORTHWEST,PROSPECT,AVENUE,,,97526,Other,42.4555340623,-123.3300981963,-13729043.730700001,5229462.378899999
704 NW MIDLAND AVE,704,NORTHWEST,MIDLAND,AVENUE,,,97526,Other,42.455183264,-123.3305212247,-13729090.822,5229409.450599998
738 NW AMELIA DR,738,NORTHWEST,AMELIA,DRIVE,,,97526,Other,42.4559278528,-123.3322019187,-13729277.916000001,5229521.794200003
730 NW AMELIA DR,730,NORTHWEST,AMELIA,DRIVE,,,97526,Other,42.4559289099,-123.3318329393,-13729236.841400001,5229521.953699999
722 NW AMELIA DR,722,NORTHWEST,AMELIA,DRIVE,,,97526,Other,42.4559045026,-123.3314643623,-13729195.8116,5229518.2711
716 NW AMELIA DR,716,NORTHWEST,AMELIA,DRIVE,,,97526,Current,42.4559278998,-123.3312142507,-13729167.9693,5229521.801299997
712 NW AMELIA DR,712,NORTHWEST,AMELIA,DRIVE,,,97526,Other,42.4559642974,-123.3309434418,-13729137.822999999,5229527.292999998
704 NW AMELIA DR,704,NORTHWEST,AMELIA,DRIVE,,,97526,Other,42.4558958335,-123.3306197869,-13729101.7939,5229516.963100001
739 NW AMELIA DR,739,NORTHWEST,AMELIA,DRIVE,,,97526,Other,42.4555993187,-123.332197454,-13729277.419,5229472.224799998
731 NW AMELIA DR,731,NORTHWEST,AMELIA,DRIVE,,,97526,Other,42.4555971349,-123.3317628302,-13729229.036899999,5229471.895300001
721 NW AMELIA DR,721,NORTHWEST,AMELIA,DRIVE,,,97526,Other,42.4555532272,-123.3315000658,-13729199.7861,5229465.270499997
715 NW AMELIA DR,715,NORTHWEST,AMELIA,DRIVE,,,97526,Other,42.4555913455,-123.3312337243,-13729170.1371,5229471.0217999965
711 NW AMELIA DR,711,NORTHWEST,AMELIA,DRIVE,,,97526,Other,42.4555610201,-123.3309847617,-13729142.422699999,5229466.4463
730 NW MIDLAND AVE,730,NORTHWEST,MIDLAND,AVENUE,,,97526,Other,42.4552123383,-123.3317295809,-13729225.3356,5229413.837300003
722 NW MIDLAND AVE,722,NORTHWEST,MIDLAND,AVENUE,,,97526,Other,42.4551597081,-123.3314585942,-13729195.1695,5229405.896499999
710 NW MIDLAND AVE,710,NORTHWEST,MIDLAND,AVENUE,,,97526,Other,42.455195153,-123.3309028937,-13729133.3092,5229411.244400002
558 NW BUDDY LN,558,NORTHWEST,BUDDY,LANE,,,97526,Other,42.4629115723,-123.329054539,-13728927.5513,5230575.563299999
548 NW BUDDY LN,548,NORTHWEST,BUDDY,LANE,,,97526,Other,42.4628905408,-123.3287645817,-13728895.273400001,5230572.389700003
538 NW BUDDY LN,538,NORTHWEST,BUDDY,LANE,,,97526,Other,42.4629270901,-123.3285141539,-13728867.3959,5230577.9048999995
528 NW BUDDY LN,528,NORTHWEST,BUDDY,LANE,,,97526,Other,42.4629205949,-123.3282916205,-13728842.623599999,5230576.924800001
518 NW BUDDY LN,518,NORTHWEST,BUDDY,LANE,,,97526,Other,42.4629357767,-123.3280044884,-13728810.6602,5230579.2157000005
2070 NW HAWTHORNE AVE,2070,NORTHWEST,HAWTHORNE,AVENUE,,,97526,Other,42.4631809037,-123.3277632773,-13728783.808699999,5230616.2048999965
508 NW BUDDY LN,508,NORTHWEST,BUDDY,LANE,,,97526,Other,42.4629341551,-123.3277417878,-13728781.4165,5230578.971000001
121 NW BLOSSOM DR,121,NORTHWEST,BLOSSOM,DRIVE,,,97526,Other,42.4632304516,-123.3281417465,-13728825.9397,5230623.681599997
2090 NW HAWTHORNE AVE,2090,NORTHWEST,HAWTHORNE,AVENUE,,,97526,Other,42.4635136531,-123.3278039386,-13728788.335099999,5230666.4164
547 NW BUDDY LN,547,NORTHWEST,BUDDY,LANE,,,97526,Other,42.4626107938,-123.3287944121,-13728898.5941,5230530.176600002
527 NW BUDDY LN,527,NORTHWEST,BUDDY,LANE,,,97526,Other,42.462582717,-123.3283527751,-13728849.4313,5230525.939900003
557 NW BUDDY LN,557,NORTHWEST,BUDDY,LANE,,,97526,Other,42.4624151575,-123.3290575223,-13728927.8834,5230500.655699998
676 TROLLVIEW RD,676,,TROLLVIEW,ROAD,,,97527,Other,42.4115065554,-123.2902496166,-13724607.8071,5222821.841300003
1965 SE HAVILAND DR,1965,SOUTHEAST,HAVILAND,DRIVE,,,97527,Other,42.4149510772,-123.3150113388,-13727364.2694,5223341.200099997
1161 WYLIE LN,1161,,WYLIE,LANE,,,97527,Other,42.4149515455,-123.3163633159,-13727514.7708,5223341.2707
1971 SE HAVILAND DR,1971,SOUTHEAST,HAVILAND,DRIVE,,,97527,Other,42.414845021,-123.315385461,-13727405.9165,5223325.208700001
1975 SE HAVILAND DR,1975,SOUTHEAST,HAVILAND,DRIVE,,,97527,Other,42.4148764086,-123.3157901889,-13727450.9706,5223329.941399999
1996 SE HAVILAND DR,1996,SOUTHEAST,HAVILAND,DRIVE,,,97527,Other,42.4146137033,-123.316434148,-13727522.6558,5223290.330200002
1999 SE HAVILAND DR,1999,SOUTHEAST,HAVILAND,DRIVE,,,97527,Other,42.4145929089,-123.3157936735,-13727451.3585,5223287.194799997
1141 WYLIE LN,1141,,WYLIE,LANE,,,97527,Other,42.414921648,-123.3167295177,-13727555.5362,5223336.762699999
1949 SE HAVILAND DR,1949,SOUTHEAST,HAVILAND,DRIVE,,,97527,Other,42.4152630062,-123.3157779045,-13727449.6031,5223388.233599998
1248 E VIEW PL,1248,EAST,VIEW,PLACE,,,97527,Other,42.4148885818,-123.3145871929,-13727317.0537,5223331.776900001
1252 E VIEW PL,1252,EAST,VIEW,PLACE,,,97527,Other,42.4150219761,-123.314233334,-13727277.6623,5223351.8904
1274 E VIEW PL,1274,EAST,VIEW,PLACE,,,97527,Other,42.4146676283,-123.3145659433,-13727314.6882,5223298.461099997
1535 NE A ST,1535,NORTHEAST,A,STREET,,,97526,Other,42.4424203076,-123.3048425023,-13726232.2797,5227483.982500002
1525 NE A ST,1525,NORTHEAST,A,STREET,,,97526,Other,42.4423663886,-123.3051354052,-13726264.885499999,5227475.848899998
501 NE ROYAL DR,501,NORTHEAST,ROYAL,DRIVE,,,97526,Other,42.4418602496,-123.3034465599,-13726076.884100001,5227399.498999998
1481 NE GRABLE DR,1481,NORTHEAST,GRABLE,DRIVE,,,97526,Other,42.4415917552,-123.3055729386,-13726313.5915,5227358.997500002
1480 NE GRABLE DR,1480,NORTHEAST,GRABLE,DRIVE,,,97526,Other,42.4418594216,-123.3055606667,-13726312.2254,5227399.3741
450 NE SOVEREIGN AVE,450,NORTHEAST,SOVEREIGN,AVENUE,,,97526,Other,42.4419612372,-123.3047799203,-13726225.313099999,5227414.732699998
1601 NE FOOTHILL BLVD,1601,NORTHEAST,FOOTHILL,BOULEVARD,,,97526,Other,42.4421334163,-123.3033572826,-13726066.945799999,5227440.705499999
895 SE GLADIOLA DR,895,SOUTHEAST,GLADIOLA,DRIVE,,,97526,Other,42.4292728283,-123.2982553423,-13725499.0004,5225500.913900003
899 SE GLADIOLA DR,899,SOUTHEAST,GLADIOLA,DRIVE,,,97526,Other,42.4294083117,-123.2979421375,-13725464.1346,5225521.347099997
